fold,accuracy,precision,recall,f1,best_epoch,best_val_loss
1,0.925,1.0,0.85,0.918918918918919,46,0.1371375650167465
2,0.925,0.9473684210526315,0.9,0.9230769230769231,24,0.24019263982772826
3,0.975,1.0,0.95,0.9743589743589743,45,0.05574262887239456
4,0.925,0.9473684210526315,0.9,0.9230769230769231,53,0.22259896993637085
5,0.975,0.9523809523809523,1.0,0.975609756097561,56,0.09158391207456588
