fold,accuracy,precision,recall,f1,best_epoch,best_val_loss
1,0.975,1.0,0.95,0.9743589743589743,15,0.052190082147717476
2,0.95,1.0,0.9,0.9473684210526315,12,0.1247457817196846
3,1.0,1.0,1.0,1.0,37,0.017539933044463395
4,0.95,0.95,0.95,0.95,15,0.13375005424022673
5,0.975,0.9523809523809523,1.0,0.975609756097561,29,0.11068905368447304
