Deney_No,Learning_Rate,Dropout,Weight_Decay,Best_Epoch,Best_Val_Loss,Best_Val_Acc(%)
2,0.001,0.3,0.0002,13,0.2602,90.32
3,0.001,0.4,0.0001,15,0.3036,87.1
5,0.0005,0.3,0.0001,13,0.3813,83.87
6,0.0005,0.3,0.0002,8,0.4036,83.87
8,0.0005,0.4,0.0002,15,0.4706,83.87
1,0.001,0.3,0.0001,3,0.6767,80.65
4,0.001,0.4,0.0002,6,0.4939,80.65
7,0.0005,0.4,0.0001,13,0.447,80.65
